Offset,Hash,Original,Translation
68,0,"@MYNAME様、
いいところに来てくださったニャ。
実は、また妙なことになってるニャ。","@MYNAME님,
마침 잘 와주셨다냥.
실은, 또 이상한 일이 벌어졌다냥."
211,1,"やあ狩人殿！
太刀使いのキースでゴザル！
話は聞きましたゾ！","야, 나리!
태도 사용자 키스이오!
이야기는 들었소이다!"
292,2,"ここのアイルーたちと共に、
何でも屋を始められたそうですナ。","이곳의 아이루들과 함께,
해결사를 시작하셨다고 들었소이다."
386,3,"だからそれは、
何かの間違いだと言ってるニャ！","그러니까 그건,
뭔가 착오라고 말하고 있다냥!"
453,4,"はっはっは。
拙者をかつごうとしても無駄でゴザル。
チルカ殿から聞き及んでおりますからナ！","핫핫핫.
소생을 속이려 해도 소용없소이다.
칠카 님에게서 이미 들었으니 말이오!"
584,5,あのオンニャ、余計なことを…,"그 온냥, 쓸데없는 짓을…"
633,6,"ここはひとつ、ぜひ拙者の頼みも
聞いて欲しいでゴザル。","여기서 하나, 부디 소생의 부탁도
들어주었으면 하오이다."
708,7,"実はこのところ、
腹の具合が悪うゴザってナ。
拾い食いをした覚えはないのでゴザルが…","실은 요즘
속이 영 좋지 않았소이다.
아무거나 주워 먹은 기억은 없소만…"
826,8,"お前の腹具合とか、
本当にどうでもいいことニャ！","네놈 배 상태 따위,
정말 아무래도 상관없다냥!"
895,9,"まあまあ、そう言わずに。
狩りの際にも力が入らず、
大変困っているのでゴザルよ。","자자, 그리 말하지 마시오.
사냥할 때도 힘이 들어가지 않아
크게 곤란해하고 있소이다."
996,10,"拙者が修行を重ねた東方の国には、
たちどころに腹の具合を治す生薬が
あったのでゴザルが…","소인이 수행을 거듭한 동방의 나라에는,
순식간에 배 상태를 낫게 하는 생약이
있었소만…"
1105,11,"狩人殿のお力で、その生薬を
作ってはいただけぬだろうか。","나리의 힘을 빌려,
그 생약을 만들어 주실 수는 없겠소이까."
1182,12,"東方の生薬…？
ひょっとして、凍血散のことですかニャ？","동방의 생약…?
혹시 동혈산을 말하는 거다냥?"
1257,13,"おお、まさしくそれでゴザル！
さすがはもの知りバッシ殿ですナ！","오오, 바로 그것이오이다!
과연 박식하신 바시 나리시오!"
1340,14,"もちろん、礼はいたしますゆえ、
何卒よろしくお願いするでゴザル。","물론 사례는 하겠사오니,
부디 잘 부탁하오이다."
1425,15,では、これにて御免。,"그럼, 이만 실례하겠소이다."
1486,16,"はあ、また余計な依頼を
請け負ってしまったニャ…","하아, 또 쓸데없는 의뢰를
맡아버렸다냥…"
1562,17,"しかし、キースの頼みを無視して、
歌姫さまの評判が下がることだけは
避けニャくてはなりませんニャ。","하지만 키스의 부탁을 무시해서
가희님의 평판이 떨어지는 것만은
피해야 한다냥."
1688,18,"@MYNAME様、申し訳ございませんが
またお力を貸して欲しいですニャ。","@MYNAME님, 죄송하지만
또 힘을 빌려주셨으면 한다냥."
1774,19,"凍血散を作るには、
まず~C05クラーレアム鉱石~C00が必要ですニャ。
それを持ってきて欲しいですニャ。","동혈산을 만들려면
먼저 ~C05클라레아무 광석~C00이 필요하다냥.
그것을 가져와줬으면 한다냥."
1913,20,"凍血散を作るには、
まず~C05クラーレアム鉱石~C00が必要ですニャ。
それを持ってきて欲しいですニャ。","동혈산을 만들려면
먼저 ~C05클라레아무 광석~C00이 필요하다냥.
그것을 가져와줬으면 한다냥."
2067,21,"クラーレアム鉱石、
確かに受け取りましたニャ。","클라레아무 광석,
확실히 받았다냥."
2134,22,"次に必要ニャものは、
ヒュジキキの素材ですニャ。","다음으로 필요한 것은
휴지키키의 소재다냥."
2210,23,"ヒュジキキ？
針毛に触ると毒や麻痺にニャってしまう
あのモンスターかニャ？","휴지키키?
바늘 털에 닿으면 독이나 마비에 걸리는
그 몬스터 말이냥?"
2305,24,"そうですニャ。
毒を持つモンスターは、逆に言えば
免疫を持っているということですニャ。","맞다냥.
독을 지닌 몬스터는 반대로 말하면
면역을 갖고 있다는 뜻이다냥."
2419,25,"ヒュジキキの素材には、
解毒作用が期待できるのですニャ。","휴지키키의 소재에는
해독 작용을 기대할 수 있다냥."
2496,26,ニャるほど…,그렇구나냥…
2543,27,"ということで、
次は~C05ヒュジキキの狩猟~C00をお願いしますニャ。","그런 이유로
다음은 ~C05휴지키키 사냥~C00을 부탁한다냥."
2648,28,次は~C05ヒュジキキの狩猟~C00をお願いしますニャ。,다음은 ~C05휴지키키 사냥~C00을 부탁한다냥.
2752,29,"ヒュジキキの素材、
確かに受け取りましたニャ。","휴지키키의 소재,
확실히 받았다냥."
2819,30,最後は獣竜種、ギアオルグの血ですニャ。,"마지막은 수룡종, 기어올그의 피다냥."
2885,31,その血にも解毒作用があるかニャ？,그 피에도 해독 작용이 있는 거냥?
2945,32,"いえ、ギアオルグの血は
外気に触れると瞬時に凍るという
不思議な性質をもっているのですニャ。","아니, 기어올그의 피는
바깥 공기에 닿으면 순식간에 얼어붙는
신기한 성질을 갖고 있다냥."
