Offset,Hash,Original,Translation
0,191,"さよならニャン！また秘密の符号を持って
ここにくれば珍しい品と交換してあげるニャン！","안녕히 가라냥! 또 비밀 부호를 가지고
여기 오면 희귀한 물건과 교환해 주겠다냥!"
0,191,"≪秘密の符号≫すなわち≪イベントコード≫を
入力するのかニャン？","≪비밀 부호≫, 즉 ≪이벤트 코드≫를
입력할 거라냥?"
0,191,"他の部屋に移動してもいいかニャン？
",다른 방으로 이동해도 될까냥?
0,191,"ふむ…。秘密の符号は正しいものだニャン！
総合クエスト受付、Ｇ級クエスト受付の
≪特別クエスト≫のカテゴリから
クエスト受注だニャン！","흐음…. 비밀 부호는 맞다냥!
종합 퀘스트 접수처, Ｇ급 퀘스트 접수처의
≪특별 퀘스트≫ 카테고리에서
퀘스트 수주라냥!"
0,191,"では早速、例のブツを送っておいたニャン。
","그럼 바로, 그 물건을 보내 뒀다냥."
0,191,"大変申し訳ないニャン。今受注されている特別
クエストは、受注期間が終了しているため
出立できないニャン。","대단히 죄송하다냥. 지금 수주하신 특별
퀘스트는, 수주 기간이 종료되었기 때문에
출발할 수 없다냥."
0,191,"ようこそニャン！
   
ここは≪会員制≫の特別な施設だニャン！
   
他では入手できない貴重品を、≪秘密の符号≫と
交換するニャン！","어서 오라냥!
   
여기는 ≪회원제≫의 특별한 시설이라냥!
   
다른 곳에서는 입수할 수 없는 귀중품을, ≪비밀 부호≫와
교환한다냥!"
0,191,"クエスト成功おめでとニャン！
   
例のブツを送る手続きをはじめるニャン！","퀘스트 성공 축하한다냥!
   
그 물건을 보내는 절차를 시작하겠다냥!"
0,191,"ようこそニャン！
   
ここでは公式イベントの賞品を配布しているんだ
ニャン！","어서 오라냥!
   
여기서는 공식 이벤트 상품을 배포하고 있다
냥!"
0,191,"今、渡せるブツは無いみたいだニャン。
   
もう一度確認してから話しかけてほしいの
ニャン。","지금, 건네줄 물건은 없는 것 같다냥.
   
다시 한 번 확인하고 나서 말을 걸어 주면
좋겠다냥."
0,191,"ようこそニャン！
   
ここは≪会員制≫の特別な施設だニャン！
   
他では入手できない貴重品を、≪秘密の符号≫と
交換するニャン！","어서 오라냥!
   
여기는 ≪회원제≫의 특별한 시설이라냥!
   
다른 곳에서는 입수할 수 없는 귀중품을, ≪비밀 부호≫와
교환한다냥!"
0,191,"ようこそニャン！
   
ここは≪会員制≫の特別な施設だニャン！
   
他では入手できない貴重品を、≪秘密の符号≫と
交換するニャン！","어서 오라냥!
   
여기는 ≪회원제≫의 특별한 시설이라냥!
   
다른 곳에서는 입수할 수 없는 귀중품을, ≪비밀 부호≫와
교환한다냥!"
0,191,End of Line,
