Offset,Hash,Original,Translation
434776,2878544656,ETﾆSｦSｶS%SﾂSﾄSｯSｰSｭSｮS,
434780,2033316717,ﾍSﾏSﾐSﾎSﾑSﾒSﾔSﾓSﾖSﾕS,
434784,4146867287,ﾙSﾗSﾘSﾚS1V,
434800,822530356,兌喙媼彈拏杣歇[｡[｢[ｪ\｣[､[･[ｫ\ｬ\ｭ\ｮ\ｯ\ｰ\ｱ\ｲ\ｳ\ｴ\ｵ\ｶ\ｷ\ｸ\貼表暴予禄,
434804,2636718201,ﾕTﾖTﾗTﾘTﾙTﾚTﾛTﾜTﾔUﾝT老ﾞTﾟT澣之彪坊遊,
434924,4024638662,o\p\q\,
435116,3163975123,ﾀ[ﾁ[ﾄ[ﾂ[ﾃ[ｼ[ｿ[ｽ[ｾ[,
435508,2027665925,}U~U,
435668,3537720020,>[?[觴@[ﾏ[ﾐ[ﾑ[ｫ[ﾙZﾛZ綮ﾊZ・ﾄ[ｼ[ﾋ[,
436096,1644148978,`\a\,
436128,2636718201,ﾕTﾖTﾗTﾘTﾙTﾚTﾛTﾜTﾔUﾝT老ﾞTﾟT澣之彪坊遊,
437184,2878544656,ETﾆSｦSｶS%SﾂSﾄSｯSｰSｭSｮS,
437476,4146867287,ﾙSﾗSﾘSﾚS1V,
437956,2033316717,ﾍSﾏSﾐSﾎSﾑSﾒSﾔSﾓSﾖSﾕS,
438700,506284923,"%h&h'h(h)h*h+h,h-h.h",
438852,2969103256,テオ・テスカトルの頭部破壊,테오·테스카토르의 두부 파괴
438884,822530356,兌喙媼彈拏杣歇[｡[｢[ｪ\｣[､[･[ｫ\ｬ\ｭ\ｮ\ｯ\ｰ\ｱ\ｲ\ｳ\ｴ\ｵ\ｶ\ｷ\ｸ\貼表暴予禄,
439500,1389069766,ｸgｹg,
439692,1492195702,"0f1fｭfｮf鑁馭ﾑfﾒfｨfｩf禅探'g(gRgSgｪgｫg	h
hZg[g",
440732,2926493724,"３崖ｬ:$N%N&N'N(N)N*N+N,N-N.N/N0N1N",
441660,129812804,A@	,
441988,3285732484,チャチャブー１５匹の討伐,챠챠브 15마리 토벌
441992,3981283368,チャチャブー１０匹の討伐,챠챠브 10마리 토벌
441996,2926322393,チャチャブー５匹の討伐,챠챠브 5마리 토벌
442000,1598707645,"メインターゲット、もしくは
サブターゲットＡかＢの達成","메인 타겟, 혹은
서브 타겟 A나 B의 달성"
442004,1309760743,"報酬金ゼロ
タイムアップ","보수금 제로
타임 오버"
442008,3067250652,ハンターズギルド,헌터즈 길드
442012,2501372041,"今ギルドでは、凄腕ハンター
の方々に向けて、ギルドで
保管している素材の提供を
考えています。
ただし、素材数にも限りがあ
るため、ある程度実力のある
ハンターの方のみとさせて頂
きます。","현재 길드에서는, 실력
있는 헌터 여러분을 위해,
길드에서 보관하고 있는
소재의 제공을 생각하고
있습니다. 다만, 소재 수에도
한도가 있으므로, 어느 정도
실력이 있는 헌터분에게만
한정하도록 하겠습니다."
442336,1937112344,"≪猟団クエスト≫
猟団依頼！草食種の剥ぎ","≪수렵단 퀘스트≫
수렵단 의뢰! 초식종 갈무리"
442340,1118513087,アプトノス５頭の討伐,아프토노스 5마리 토벌
442344,1795532259,ケルビ７頭の討伐,켈비 7마리 토벌
442348,1500832701,モス８頭の討伐,모스 8마리 토벌
442352,1598707645,"メインターゲット、もしくは
サブターゲットＡかＢの達成","메인 타겟, 혹은
서브 타겟 A나 B의 달성"
442356,1309760743,"報酬金ゼロ
タイムアップ","보수금 제로
타임 오버"
442360,3067250652,ハンターズギルド,헌터즈 길드
442364,2501372041,"今ギルドでは、凄腕ハンター
の方々に向けて、ギルドで
保管している素材の提供を
考えています。
ただし、素材数にも限りがあ
るため、ある程度実力のある
ハンターの方のみとさせて頂
きます。","현재 길드에서는, 실력
있는 헌터 여러분을 위해,
길드에서 보관하고 있는
소재의 제공을 생각하고
있습니다. 다만, 소재 수에도
한도가 있으므로, 어느 정도
실력이 있는 헌터분에게만
한정하도록 하겠습니다."
442688,1692412215,"≪猟団クエスト≫
猟団依頼！甲虫種の剥ぎ","≪수렵단 퀘스트≫
수렵단 의뢰! 갑충종 갈무리"
442692,3212199883,カンタロス７匹の討伐,칸타로스 7마리 토벌
442696,1800268832,ランゴスタ７匹の討伐,란고스타 7마리 토벌
442700,3434211134,大雷光虫７匹の討伐,대뇌광충 7마리 토벌
442704,1598707645,"メインターゲット、もしくは
サブターゲットＡかＢの達成","메인 타겟, 혹은
서브 타겟 A나 B의 달성"
