Offset,Hash,Original,Translation
61,0,"おう、@MYNAME！
お前さんには随分と世話になったな。","오, @MYNAME!
자네한테는 신세를 많이 졌군."
133,1,"キースに教えてもらった
３つの珠のおかげで、今ではすっかり
狩り場で腹が減ることも…","키스에게 배운
３개의 주 덕분에, 이제는 완전히
사냥터에서 배고플 일도…"
238,2,"…と、言いたいところなんだがな、
実はあのキースの秘技には、
とんでもない欠陥があったんだ。","…라고 말하고 싶은데 말이지,
실은 그 키스의 비기에는
엄청난 결함이 있었다."
351,3,"なんと満腹珠と食漢珠を
同時に装備すると、はらへりの技能が
相殺されてしまうのだ！","글쎄 만복주와 식한주를
동시에 장착하면, 허기짐 기능이
서로 상쇄되어 버린다는 거다!"
454,4,"つまり、奴の言う通りにしても
普通に狩り場で腹が減る！","즉, 그 녀석 말대로 해도
그냥 사냥터에서 배가 고파진다는 거지!"
529,5,"まったく、キースともあろう男が。
おかげで俺様は相変わらず
狩り場で困っておるのだ。","정말이지, 키스씩이나 되는 녀석이.
그 덕에 나는 여전히
사냥터에서 고생하고 있다."
634,6,"そこでだ、この際
はらへり無効の技能はあきらめて、
普通に食料を持参しようと思ってな。","그래서 말인데, 이참에
허기 무효 기능은 포기하고,
그냥 음식을 챙겨가려고 한다."
741,7,"スタミナに効果があるという
スネークサーモンが欲しいのだ。","스태미나에 효과가 있다는
스네이크 연어를 갖고 싶다."
820,8,"猟団部屋のハリセンネコが
売ってるらしいが、残念ながら
俺様は猟団員ではない。","수렵단실의 하리센냥이
판다고 하던데, 아쉽게도
나는 수렵단원이 아니다."
919,9,"良かったらお前さん、
スネークサーモンを
１０匹ほど譲ってくれないか？","괜찮다면 자네,
스네이크 연어를
１０마리 정도 나눠주지 않겠나?"
1010,10,"スネークサーモンを頂けるなら、
またお前さんの狩りに
付き合ってやろうではないか！","스네이크 연어를 준다면,
다시 자네 사냥에
함께 해주도록 하지!"
1112,11,"どうだ、悪い話ではないだろう？
何とかよろしく頼む！
ガハハハ！","어떠냐, 나쁜 얘기는 아니지?
어떻게든 잘 부탁한다!
가하하하!"
1210,12,"俺様が欲しいのは
スネークサーモンを１０匹だ。","내가 원하는 건
스네이크 연어 １０마리다."
1278,13,"集まったら、猟団部屋まで
持ってきてくれ！
よろしく頼むぞ！","다 모이면, 수렵단실까지
가져다줘!
잘 부탁한다!"
1359,14,"おお、スネークサーモンを
持ってきてくれたのだな！
ありがたい！","오오, 스네이크 연어를
가져와 준 거로군!
고맙다!"
1444,15,"これでスタミナに効く弁当を
狩りに持っていけるというものだ。","이걸로 스태미나에 좋은 도시락을
사냥에 가져갈 수 있겠군."
1525,16,"いやあ、助かった！
お前さんにはいつも世話に
なりっぱなしだなぁ。","이야, 도움 됐다!
자네한테는 늘 신세만
지는구먼."
1612,17,"約束通り、お前さんの狩りに
付き合ってやろうではないか。","약속대로, 자네 사냥에
함께 해주도록 하지."
1689,18,"１回だけなら
獲物はなんだっていいぞ？","한 번뿐이라면
사냥감은 뭐든 상관없다?"
1748,19,"俺様の剛腕ハンマーを
存分に堪能してくれ！
ガハハハハ！","나의 괴력 해머를
실컷 맛보도록 해라!
가하하하하!"
