Offset,Hash,Original,Translation
17,0,~C19【第１章　失われた歌声】~C00,~C19[제1장 잃어버린 노랫소리]~C00
50,1,"　祈樹の泉にたたずむ、１匹のアイルー。
　何やら複雑な事情があるようだが…。","기수의 샘에 서 있는, 한 마리의 아이루.
　뭔가 복잡한 사정이 있는 것 같은데…."
143,2,~C19【第２章　解呪の妙薬】~C00,~C19[제2장 저주 해제의 묘약]~C00
174,3,"　歌声を取り戻すため妙薬を作るアイルー。
　妙薬を作るためには、素材が必要らしい。","노랫소리를 되찾기 위해 묘약을 만드는 아이루.
　묘약을 만들기 위해서는, 소재가 필요한 모양이다."
273,4,~C19【第３章　歌の力】~C00,~C19[제3장 노래의 힘]~C00
300,5,"　ついに、歌を失った原因を突き止めた。
　いよいよこの泉に美しい歌が響き渡る…。","드디어, 노래를 잃은 원인을 밝혀냈다.
　마침내 이 샘에 아름다운 노래가 울려 퍼진다…."
397,6,~C19【第４章　メゼポルタに響く歌】~C00,~C19[제4장 메제포르타에 울려 퍼지는 노래]~C00
436,7,"　あらぬ噂がメゼポルタに広まっている。
　噂を流した犯人の真意は一体…？","엉뚱한 소문이 메제포르타에 퍼지고 있다.
　소문을 퍼뜨린 범인의 진의는 대체…?"
525,8,~C19【第５章　蒼空の王】~C00,~C19[제5장 창공의 왕]~C00
554,9,"　レジェンドラスタたちの様子がおかしい。
　何やら、ただならぬ事情がありそうだ。","레전드 라스터들의 모습이 이상하다.
　뭔가, 심상치 않은 사정이 있는 듯하다."
651,10,~C19【第６章　パートナー】~C00,~C19[제6장 파트너]~C00
682,11,"　依頼を破棄したハンターの代行で、
　突然、モンスターの討伐を頼まれたが…。","의뢰를 파기한 헌터를 대신해,
　갑자기, 몬스터 토벌을 부탁받았는데…."
775,12,~C19【第７章　トキシの武器】~C00,~C19[제7장 토키시의 무기]~C00
808,13,"　フラウがみた不思議な夢が、
　やがて皆を意外な真実へと導いていく…。","플라우가 꾼 신기한 꿈이,
　이윽고 모두를 뜻밖의 진실로 이끌어간다…."
895,14,~C19【第８章　穿龍棍】~C00,~C19[제8장 천룡곤]~C00
922,15,"　自らの手で穿龍棍を生み出すべく、
　にわかにメゼポルタが躍動し始める。","스스로의 손으로 천룡곤을 만들어내고자,
　갑자기 메제포르타가 활기를 띠기 시작한다."
1011,16,~C19【第９章　トキシの軌跡】~C00,~C19[제9장 토키시의 궤적]~C00
1044,17,"　トキシが使用していた武器の復元のため、
　レジェンドラスタたちの力が結集される。","토키시가 사용했던 무기의 복원을 위해,
　레전드 라스터들의 힘이 결집된다."
1143,18,~C19【第１０章　新たな伝説】~C00,~C19[제10장 새로운 전설]~C00
1176,19,"　ギルドから謎めいた依頼が届く。
　その先に待ち受けるものとは…？","길드에서 수수께끼 같은 의뢰가 도착한다.
　그 앞에 기다리는 것은…?"
1259,20,~C19【第１１章　ラスタ酒場事変】~C00,~C19[제１１장　라스터 주점 사변]~C00
1296,21,"　穿龍棍使いレイラの話で賑わう泉。
　憶測に憤るトッツイたちが真相を求め…。","천룡곤을 쓰는 레일라의 이야기로 떠들썩한 샘.
　억측에 분노하는 톳츠이 일행이 진상을 찾아…"
1389,22,~C19【第１２章　恩讐の結晶】~C00,~C19[제１２장　은수의 결정]~C00
1422,23,"　チルカがもたらした一つの依頼によって、
　歌姫とレイラの運命が急速に動き出す…。","칠카가 가져온 하나의 의뢰로 인해,
　가희와 레일라의 운명이 급속히 움직이기 시작한다…"
1521,24,~C19【第１３章　絆の形】~C00,~C19[제１３장　인연의 형태]~C00
1550,25,"　レイラの態度に、心配を抱く周囲の面々。
　恐れが的中した時、皆の取った行動は…。","레일라의 태도에, 걱정을 품는 주위 사람들.
　두려움이 적중했을 때, 모두가 취한 행동은…"
1649,26,~C19【第１４章　眠りへの誘い】~C00,~C19[제１４장　잠으로의 유혹]~C00
1684,27,"　フローラのパートニャーが、謎の病気に。
　病気を治すため、協力して動き出すが…。","플로라의 파트냐가, 의문의 병에 걸린다.
　병을 고치기 위해, 협력하여 움직이기 시작하지만…"
1783,28,~C19【第１５章　天空の輝き】~C00,~C19[제１５장　천공의 빛]~C00
1816,29,"　次々と依頼を持ち込むレジェンドラスタ。
　その先には、思いもよらぬ悪夢が…。","잇따라 의뢰를 가져오는 레전드 라스터.
　그 너머에는, 뜻밖의 악몽이…"
1911,30,レイラ,레일라
1918,31,レイラのレスタストーリー,레일라의 레스타 스토리
1960,32,タイゾウ,타이조
1969,33,タイゾウのレスタストーリー,타이조의 레스타 스토리
2013,34,キース,키스
2020,35,キースのレスタストーリー,키스의 레스타 스토리
