Offset,Hash,Original,Translation
20076,0,om001,
20082,0,竜骨のハイチェスト,용골 서랍장[대]
20101,0,"場所：床　　重ね：○　上置：○
竜骨を使った家具。
素朴さの中にどことなく気品を
感じる商品。","위치：바닥　　겹치기：○　위에놓기：○
용골을 사용한 가구.
소박함 속에서 어딘지 모르게 기품을
느낄 수 있는 상품."
20193,1,om005,
20199,1,赤のハイチェスト,빨강 서랍장[대]
20216,1,"場所：床　　重ね：○　上置：○
イーオスの皮を使った家具。
情熱的な赤は、女性に人気。
","위치：바닥　　겹치기：○　위에놓기：○
이오스의 가죽을 사용한 가구.
정열적인 빨강은 여성에게 인기."
20302,2,om006,
20308,2,青のハイチェスト,파랑 서랍장[대]
20325,2,"場所：床　　重ね：○　上置：○
ランポスの皮を使った家具。
定番色の青は、若い層に人気が
ある。","위치：바닥　　겹치기：○　위에놓기：○
란포스의 가죽을 사용한 가구.
스테디셀러 색상인 파랑은 젊은 층에게
인기가 있다."
20419,3,om007,
20425,3,黄のハイチェスト,노랑 서랍장[대]
20442,3,"場所：床　　重ね：○　上置：○
ゲネポスの皮を使った家具。
かわいらしい黄は、特に子供か
ら高い人気がある。","위치：바닥　　겹치기：○　위에놓기：○
게네포스의 가죽을 사용한 가구.
귀여운 노랑은 특히 아이들에
게서 높은 인기가 있다."
20548,4,om008,
20554,4,紫のハイチェスト,보라 서랍장[대]
20571,4,"場所：床　　重ね：○　上置：○
ゴム質の紫皮を使った家具。
鮮やかな紫は、豪華さを一層
引き立てている。","위치：바닥　　겹치기：○　위에놓기：○
고무질의 보라 가죽을 사용한 가구.
선명한 보라색은 화려함을 한층
돋보이게 한다."
20673,5,om009,
20679,5,白のハイチェスト,하양 서랍장[대]
20696,5,"場所：床　　重ね：○　上置：○
ブヨブヨした皮を使った家具。
上品さと清潔感を兼ね備えた
人気の高い商品。","위치：바닥　　겹치기：○　위에놓기：○
말랑말랑한 가죽을 사용한 가구.
고상함과 청결감을 겸비한
인기 높은 상품."
20800,6,om013,
20806,6,石光沢のハイチェスト,돌광택 서랍장[대]
20827,6,"場所：床　　重ね：○　上置：○
複数の鉱石を使った家具。
磨き上げによる自然の光沢は、
年配層から高い支持がある。","위치：바닥　　겹치기：○　위에놓기：○
여러 광석을 사용한 가구.
연마로 낸 자연스러운 광택은
연령대 높은 층에게서 높은 지지를 받는다."
20939,7,om014,
20945,7,黒光沢のハイチェスト,검정광택 서랍장[대]
20966,7,"場所：床　　重ね：○　上置：○
渋く黒光りしている家具。
丁寧に研磨を　重ねて仕上げた
黒の光沢に、思わずうっとり。","위치：바닥　　겹치기：○　위에놓기：○
중후하게 검은빛이 도는 가구.
정성껏 연마를　거듭해 마무리한
검정 광택에 저절로 넋을 잃게 된다."
21080,8,om015,
21086,8,黄金のハイチェスト,황금 서랍장[대]
21105,8,"場所：床　　重ね：○　上置：○
眩く黄金色に輝く家具。
誰もが高級と認めてしまう、
憧れの商品。","위치：바닥　　겹치기：○　위에놓기：○
눈부시게 황금빛으로 빛나는 가구.
누구나 고급스럽다고 인정하게 되는
동경의 상품."
21199,9,om016,
21205,9,匠のハイチェスト,장인 서랍장[대]
21222,9,"場所：床　　重ね：○　上置：×
家具職人の業を全て注ぎ入れて
作られた家具。
一切の妥協がない逸品。","위치：바닥　　겹치기：○　위에놓기：×
가구 장인의 솜씨를 모두 쏟아부어
만들어진 가구.
일체의 타협이 없는 일품."
21320,10,om021,
21326,10,竜骨のローチェスト,용골 서랍장[소]
21345,10,"場所：床　　重ね：○　上置：○
竜骨を使った家具。
磨き上げた骨の肌触りに思わず
うっとり。","위치：바닥　　겹치기：○
위에놓기：○ 용골을 사용한
가구. 갈고닦은 뼈의 촉감에
저절로 넋을 잃는다."
21435,11,om025,
21441,11,赤のローチェスト,빨강 서랍장[소]
21458,11,"場所：床　　重ね：○　上置：○
イーオスの鱗を使った家具。
ドスイーオスの皮により、
多少のことでも傷つかない。","위치：바닥　　겹치기：○　위에놓기：○
이오스의 비늘을 사용한 가구.
도스이오스의 가죽 덕분에
웬만한 일로는 흠집이 나지 않는다."
21568,12,om026,
21574,12,青のローチェスト,파랑 서랍장[소]
